"{'火盐', '矮人油'}", "{12, 7}", 999
"{'架子湾葡萄', '矮人油'}", "{12, 22}", 1039
"{'鳞片伞菌', '矮人油'}", "{36, 22}", 643
"{'树伞菌', '矮人油'}", "{36, 7}", 603
"{'天鹅菇', '矮人油'}", "{36, 7}", 603
"{'藤蔓丛', '矮人油'}", "{22, 7}", 346
"{'月亮糖', '矮人油'}", "{12, 7}", 999
"{'盐堆', '矮人油'}", "{12, 22}", 1039
"{'直立根', '矮人油'}", "{36, 12, 22, 7}", 1642
"{'阿贝希恩长鳍鱼', '短鹿角'}", "{1, 39}", 755
"{'白帽伞菌', '冰怨灵的牙'}", "{5, 30}", 404
"{'冰怨灵的牙', '寒霜幽魂牙齿'}", "{8, 5, 54, 30}", 1827
"{'白帽伞菌', '寒霜幽魂牙齿'}", "{5, 30}", 404
"{'白帽伞菌', '火盐'}", "{5, 7}", 301
"{'红山花', '白帽伞菌'}", "{7, 31}", 480
"{'精灵耳', '白帽伞菌'}", "{5, 7}", 301
"{'荆棘之心', '白帽伞菌'}", "{7, 31}", 480
"{'灵质', '白帽伞菌'}", "{7, 31}", 480
"{'贝瑞特的骨灰', '巢蚁猎人触角'}", "{33, 15}", 509
"{'贝瑞特的骨灰', '骨粉'}", "{48, 33, 10, 15}", 1009
"{'贝瑞特的骨灰', '灰烬藤蔓丛'}", "{10, 15}", 557
"{'贝瑞特的骨灰', '灰烬魔尘'}", "{48, 10}", 500
"{'贝瑞特的骨灰', '蓝蝶翅膀'}", "{33, 15}", 509
"{'先祖蛾翅膀', '贝瑞特的骨灰'}", "{33, 15}", 509
"{'刺柏浆果', '朱尼珀尔果'}", "{8, 17, 37, 13}", 2177
"{'月蛾翅膀', '巢蚁卵'}", "{16, 54}", 1440
"{'骨粉', '巢蚁猎人触角'}", "{33, 15}", 509
"{'巢蚁猎人触角', '加林根'}", "{19, 15}", 1135
"{'蓝山花', '巢蚁猎人触角'}", "{33, 19}", 1346
"{'蓝蝶翅膀', '巢蚁猎人触角'}", "{33, 19, 25, 15}", 1544
"{'树精的树液', '巢蚁猎人触角'}", "{25, 19}", 1035
"{'先祖蛾翅膀', '巢蚁猎人触角'}", "{33, 19, 25, 15}", 1544
"{'蜘蛛卵', '巢蚁猎人触角'}", "{19, 15}", 1135
"{'橙色蜻蜓', '红蜻蜓'}", "{40, 50, 6, 47}", 1095
"{'食人鱼卵', '橙色蜻蜓'}", "{40, 50}", 885
"{'橙色蜻蜓', '痛苦草'}", "{50, 47}", 380
"{'草籽', '红山花'}", "{7, 47}", 210
"{'猛犸牙粉', '长毛象牙粉末'}", "{8, 21, 38, 6}", 1344
"{'气母胶质', '长毛象牙粉末'}", "{21, 6}", 604
"{'水母果冻', '长毛象牙粉末'}", "{21, 6}", 604
"{'紫山花', '长毛象牙粉末'}", "{38, 6}", 715
"{'长鹿角', '希思特鲤鱼'}", "{17, 6}", 744
"{'萤火虫的胸壳', '长鹿角'}", "{32, 6}", 490
"{'长鹿角', '银岸鲈鱼'}", "{17, 6}", 744
"{'吊苔', '光尘'}", "{16, 19}", 1181
"{'吊苔', '加林根'}", "{16, 19}", 1181
"{'蓝山花', '吊苔'}", "{35, 19}", 1379
"{'人类心脏', '吊苔'}", "{16, 19}", 1181
"{'熊爪', '吊苔'}", "{35, 42, 19}", 1941
"{'食人鱼卵', '大蒜'}", "{32, 2}", 775
"{'帝王伞苔', '红山花'}", "{14, 31}", 348
"{'帝王伞苔', '巨魔脂肪'}", "{43, 14}", 584
"{'帝王伞苔', '灵质'}", "{14, 31}", 348
"{'帝王伞苔', '虚无盐'}", "{14, 31}", 348
"{'帝王蝴蝶翅膀', '蝴蝶翅膀'}", "{16, 28, 4, 53}", 601
"{'剑齿虎眼', '帝王蝴蝶翅膀'}", "{16, 4}", 323
"{'魔族心脏', '帝王蝴蝶翅膀'}", "{16, 4}", 323
"{'毒茂花', '河布丁'}", "{18, 45, 14}", 1932
"{'气母胶质', '毒茂花'}", "{45, 21}", 1442
"{'毒茂花', '丧钟花'}", "{18, 14}", 941
"{'水母果冻', '毒茂花'}", "{45, 21}", 1442
"{'毒茂花', '特拉玛根'}", "{18, 45}", 1911
"{'真菌的根', '毒茂花'}", "{18, 45}", 1911
"{'毒蝇伞', '飞天菇菌'}", "{43, 10, 11, 20}", 2221
"{'毒蝇伞', '巨魔脂肪'}", "{43, 20}", 967
"{'毒蝇伞', '龙舌兰'}", "{10, 43}", 971
"{'短鹿角', '龙葵'}", "{53, 14}", 69
"{'短鹿角', '丧钟花'}", "{1, 14}", 214
"{'短鹿角', '夜茄'}", "{53, 14}", 69
"{'恶鼠尾巴', '雪鼠尾巴'}", "{17, 29, 46, 14}", 891
"{'恶鼠尾巴', '银岸鲈鱼'}", "{17, 46}", 614
"{'巨魔脂肪', '伐莫耳'}", "{2, 20, 14}", 863
"{'人类心脏', '伐莫耳'}", "{20, 14}", 425
"{'雪精灵耳', '伐莫耳'}", "{2, 26, 20, 14}", 986
"{'蜜蜂', '蜂巢'}", "{48, 6}", 245
"{'蜂巢', '珍珠'}", "{41, 6}", 715
"{'鹰羽毛', '蜂箱外壳'}", "{29, 38}", 818
"{'灰烬跳虫胶质', '法萨德燕鸥羽毛'}", "{4, 29}", 384
"{'焦黑的恶鼠皮', '法萨德燕鸥羽毛'}", "{4, 55}", 164
"{'烧焦雪鼠尾巴', '法萨德燕鸥羽毛'}", "{4, 55}", 164
"{'鹰羽毛', '法萨德燕鸥羽毛'}", "{29, 55}", 292
"{'巨魔脂肪', '飞天菇菌'}", "{43, 20}", 967
"{'龙舌兰', '飞天菇菌'}", "{10, 43}", 971
"{'光尘', '加林根'}", "{16, 19}", 1181
"{'光尘', '龙葵'}", "{19, 44}", 1706
"{'人类心脏', '光尘'}", "{16, 19}", 1181
"{'微光伞菌', '光尘'}", "{51, 44}", 1128
"{'夜茄', '光尘'}", "{19, 44}", 1706
"{'光尘', '荧光菇'}", "{51, 44}", 1128
"{'鲑鱼卵', '架子湾葡萄'}", "{12, 31}", 1173
"{'鲑鱼卵', '希思特鲤鱼'}", "{52, 6, 31}", 958
"{'骨粉', '灰烬藤蔓丛'}", "{10, 15}", 557
"{'骨粉', '灰烬魔尘'}", "{48, 10}", 500
"{'骨粉', '蓝蝶翅膀'}", "{33, 15}", 509
"{'先祖蛾翅膀', '骨粉'}", "{33, 15}", 509
"{'寒霜甘草', '银岸鲈鱼'}", "{17, 9}", 999
"{'寒霜甘草', '紫山花'}", "{9, 38}", 970
"{'烈焰树精木片', '河布丁'}", "{18, 27}", 1145
"{'河布丁', '丧钟花'}", "{18, 14}", 941
"{'烧焦的树精木', '河布丁'}", "{18, 27}", 1145
"{'河布丁', '特拉玛根'}", "{18, 45}", 1911
"{'真菌的根', '河布丁'}", "{18, 45}", 1911
"{'精灵耳', '火盐'}", "{10, 5, 7}", 709
"{'火盐', '月亮糖'}", "{12, 7}", 999
"{'直立根', '火盐'}", "{12, 7}", 999
"{'奈恩根', '灰烬藤蔓丛'}", "{54, 15}", 1394
"{'灰烬藤蔓丛', '深红奈恩根'}", "{54, 15}", 1394
"{'猩红奈恩根', '灰烬藤蔓丛'}", "{54, 15}", 1394
"{'蓝色蜻蜓', '灰烬跳虫胶质'}", "{51, 4}", 536
"{'沼泽真菌荚', '灰烬跳虫胶质'}", "{51, 4}", 536
"{'痛苦草', '灰烬魔尘'}", "{48, 47}", 149
"{'雪果', '灰烬魔尘'}", "{25, 10}", 457
"{'荆棘之心', '红山花'}", "{7, 31}", 480
"{'灵质', '红山花'}", "{7, 14, 31}", 501
"{'人肉', '红山花'}", "{14, 7}", 174
"{'红山花', '虚无盐'}", "{14, 31}", 348
"{'巨人脚趾', '黄山花'}", "{17, 35}", 984
"{'黄山花', '小麦'}", "{17, 35}", 984
"{'食人鱼卵', '红蜻蜓'}", "{40, 50}", 885
"{'痛苦草', '红蜻蜓'}", "{50, 47}", 380
"{'剑齿虎眼', '蝴蝶翅膀'}", "{16, 4}", 323
"{'魔族心脏', '蝴蝶翅膀'}", "{16, 4}", 323
"{'松木画眉蛋', '剑齿虎牙齿'}", "{1, 6}", 346
"{'剑齿虎眼', '焦黑的恶鼠皮'}", "{4, 6}", 281
"{'剑齿虎眼', '魔族心脏'}", "{16, 4}", 323
"{'剑齿虎眼', '烧焦雪鼠尾巴'}", "{4, 6}", 281
"{'剑齿虎眼', '银岸鲈鱼'}", "{46, 6}", 176
"{'巨人脚趾', '藤蔓丛'}", "{17, 45}", 1582
"{'巨人脚趾', '小麦'}", "{17, 35}", 984
"{'人类心脏', '巨魔脂肪'}", "{20, 14}", 425
"{'巨魔脂肪', '雪精灵耳'}", "{2, 20, 14}", 863
"{'架子湾葡萄', '盐堆'}", "{12, 22}", 1039
"{'直立根', '架子湾葡萄'}", "{12, 22}", 1039
"{'泥沼蟹壳', '焦黑的恶鼠皮'}", "{2, 6, 55}", 627
"{'焦黑的恶鼠皮', '烧焦雪鼠尾巴'}", "{2, 4, 6, 55}", 755
"{'灵质', '荆棘之心'}", "{7, 31}", 480
"{'荆棘之心', '人肉'}", "{24, 7}", 1224
"{'荆棘之心', '苔原棉花'}", "{41, 31}", 889
"{'荆棘之心', '珍珠'}", "{41, 7}", 715
"{'蓟花', '食人鱼鳞'}", "{9, 30}", 664
"{'鸡蛋', '龙葵'}", "{19, 53}", 1034
"{'夜茄', '鸡蛋'}", "{19, 53}", 1034
"{'鹰的蛋', '鸡蛋'}", "{19, 52, 53, 23}", 1759
"{'蓝蝶翅膀', '加林根'}", "{19, 15}", 1135
"{'龙葵', '加林根'}", "{19, 14}", 1007
"{'奈恩根', '加林根'}", "{14, 15}", 170
"{'人类心脏', '加林根'}", "{16, 19, 14}", 1202
"{'深红奈恩根', '加林根'}", "{14, 15}", 170
"{'先祖蛾翅膀', '加林根'}", "{19, 15}", 1135
"{'猩红奈恩根', '加林根'}", "{14, 15}", 170
"{'夜茄', '加林根'}", "{19, 14}", 1007
"{'蜘蛛卵', '加林根'}", "{19, 15}", 1135
"{'灵质', '龙葵'}", "{44, 14}", 741
"{'灵质', '人肉'}", "{14, 7}", 174
"{'灵质', '虚无盐'}", "{14, 31}", 348
"{'灵质', '夜茄'}", "{44, 14}", 741
"{'烈焰树精木片', '树精的树液'}", "{19, 27}", 1211
"{'烈焰树精木片', '烧焦的树精木'}", "{8, 27, 18, 19}", 2309
"{'蓝蝶翅膀', '蓝山花'}", "{33, 19}", 1346
"{'蓝山花', '小麦'}", "{35, 4}", 521
"{'熊爪', '蓝山花'}", "{35, 19}", 1379
"{'先祖蛾翅膀', '蓝山花'}", "{33, 19}", 1346
"{'蓝色蜻蜓', '魔族心脏'}", "{4, 21}", 579
"{'沼泽真菌荚', '蓝色蜻蜓'}", "{51, 4}", 536
"{'树精的树液', '蓝蝶翅膀'}", "{25, 19}", 1035
"{'先祖蛾翅膀', '蓝蝶翅膀'}", "{33, 19, 25, 15}", 1544
"{'蜘蛛卵', '蓝蝶翅膀'}", "{19, 15}", 1135
"{'树伞菌', '鳞片伞菌'}", "{11, 36}", 1296
"{'天鹅菇', '鳞片伞菌'}", "{11, 36}", 1296
"{'藤蔓丛', '鳞片伞菌'}", "{45, 22}", 1184
"{'直立根', '鳞片伞菌'}", "{36, 22}", 643
"{'人类心脏', '龙葵'}", "{19, 14}", 1007
"{'夜茄', '龙葵'}", "{19, 44, 53, 14}", 1775
"{'鹰的蛋', '龙葵'}", "{19, 53}", 1034
"{'娜米拉腐菌', '魔族心脏'}", "{16, 21}", 646
"{'魔族心脏', '小麦'}", "{17, 4}", 719
"{'气母胶质', '猛犸牙粉'}", "{21, 6}", 604
"{'水母果冻', '猛犸牙粉'}", "{21, 6}", 604
"{'猛犸牙粉', '紫山花'}", "{38, 6}", 715
"{'奈恩根', '深红奈恩根'}", "{14, 15, 54, 23}", 1662
"{'奈恩根', '虚无盐'}", "{14, 23}", 268
"{'猩红奈恩根', '奈恩根'}", "{14, 15, 54, 23}", 1662
"{'娜米拉腐菌', '诺德藤壶'}", "{16, 13}", 1041
"{'娜米拉腐菌', '闪光花'}", "{21, 13}", 1297
"{'娜米拉腐菌', '幽光萌花'}", "{21, 13}", 1297
"{'娜米拉腐菌', '月蛾翅膀'}", "{16, 13}", 1041
"{'泥沼蟹壳', '烧焦雪鼠尾巴'}", "{2, 6, 55}", 627
"{'月蛾翅膀', '诺德藤壶'}", "{16, 13}", 1041
"{'水母果冻', '气母胶质'}", "{24, 45, 21, 6}", 2666
"{'气母胶质', '闪光花'}", "{24, 21}", 1522
"{'气母胶质', '幽光萌花'}", "{24, 21}", 1522
"{'气母胶质', '幽魂外皮'}", "{45, 6}", 1144
"{'鹰喙', '气母胶质'}", "{45, 6}", 1144
"{'气泡草', '石溪刺莺卵'}", "{4, 15}", 277
"{'气泡草', '岩莺的蛋'}", "{4, 15}", 277
"{'犬根', '石溪刺莺卵'}", "{42, 15}", 711
"{'岩莺的蛋', '犬根'}", "{42, 15}", 711
"{'蜘蛛卵', '犬根'}", "{37, 15}", 711
"{'乌鸦鬼婆之羽', '人类心脏'}", "{16, 20}", 599
"{'人类心脏', '雪精灵耳'}", "{20, 14}", 425
"{'人类心脏', '夜茄'}", "{19, 14}", 1007
"{'人肉', '小恶魔菌'}", "{24, 14}", 1092
"{'鹰喙', '松木画眉蛋'}", "{51, 6}", 561
"{'松木画眉蛋', '珍珠'}", "{51, 6}", 561
"{'树伞菌', '天鹅菇'}", "{50, 11, 36, 7}", 1772
"{'树伞菌', '直立根'}", "{36, 7}", 603
"{'树精的树液', '烧焦的树精木'}", "{27, 19}", 1211
"{'先祖蛾翅膀', '树精的树液'}", "{25, 19}", 1035
"{'西罗帝尔斗鱼', '赛瑞迪尔斗鱼'}", "{15, 21, 46, 39}", 1185
"{'霜盐', '月亮糖'}", "{8, 9, 7}", 739
"{'岩莺的蛋', '石溪刺莺卵'}", "{42, 4, 22, 15}", 1032
"{'深红奈恩根', '虚无盐'}", "{14, 23}", 268
"{'猩红奈恩根', '深红奈恩根'}", "{14, 15, 54, 23}", 1662
"{'水母果冻', '闪光花'}", "{24, 21}", 1522
"{'水母果冻', '幽光萌花'}", "{24, 21}", 1522
"{'水母果冻', '幽魂外皮'}", "{45, 6}", 1144
"{'鹰喙', '水母果冻'}", "{45, 6}", 1144
"{'幽光萌花', '闪光花'}", "{24, 21, 13, 23}", 2615
"{'乌鸦鬼婆之羽', '特拉玛根'}", "{16, 49}", 402
"{'真菌的根', '特拉玛根'}", "{16, 49, 18, 45}", 2313
"{'乌鸦鬼婆之爪', '苔原棉花'}", "{28, 23}", 477
"{'苔原棉花', '虚无盐'}", "{23, 31}", 574
"{'鲜血王冠', '苔原棉花'}", "{41, 23}", 809
"{'天鹅菇', '直立根'}", "{36, 7}", 603
"{'直立根', '藤蔓丛'}", "{22, 7}", 346
"{'乌鸦鬼婆之羽', '真菌的根'}", "{16, 49}", 402
"{'微光伞菌', '荧光菇'}", "{51, 34, 35, 44}", 1914
"{'吸血鬼灰烬', '月蛾翅膀'}", "{13, 54}", 2091
"{'沼泽真菌荚', '小恶魔菌'}", "{24, 4}", 1199
"{'熊爪', '小珍珠'}", "{42, 6}", 715
"{'小珍珠', '银岸鲈鱼'}", "{9, 6}", 561
"{'鹰喙', '小珍珠'}", "{9, 6}", 561
"{'小珍珠', '紫山花'}", "{9, 6}", 561
"{'沼泽真菌荚', '小麦'}", "{3, 4}", 397
"{'银岸鲈鱼', '希思特鲤鱼'}", "{17, 6}", 744
"{'猩红奈恩根', '虚无盐'}", "{14, 23}", 268
"{'鹰喙', '雪果'}", "{9, 51}", 816
"{'先祖蛾翅膀', '蜘蛛卵'}", "{19, 15}", 1135
"{'银岸鲈鱼', '雪鼠尾巴'}", "{17, 46}", 614
"{'鹰喙', '幽魂外皮'}", "{45, 6}", 1144
"{'直立根', '月亮糖'}", "{12, 7}", 999
"{'鹰的蛋', '夜茄'}", "{19, 53}", 1034
"{'直立根', '盐堆'}", "{12, 22}", 1039
"{'萤火虫的胸壳', '紫山花'}", "{3, 6}", 422
"{'鹰喙', '银岸鲈鱼'}", "{9, 6}", 561
"{'紫山花', '银岸鲈鱼'}", "{9, 6}", 561
"{'鹰喙', '珍珠'}", "{51, 6}", 561
"{'鹰喙', '紫山花'}", "{9, 6}", 561
"{'架子湾葡萄', '火盐', '矮人油'}", "{12, 22, 7}", 1192
"{'鳞片伞菌', '火盐', '矮人油'}", "{12, 22, 36, 7}", 1642
"{'树伞菌', '火盐', '矮人油'}", "{12, 36, 7}", 1449
"{'天鹅菇', '火盐', '矮人油'}", "{12, 36, 7}", 1449
"{'藤蔓丛', '火盐', '矮人油'}", "{12, 22, 7}", 1192
"{'月亮糖', '火盐', '矮人油'}", "{12, 7}", 999
"{'盐堆', '火盐', '矮人油'}", "{12, 22, 7}", 1192
"{'直立根', '火盐', '矮人油'}", "{36, 22, 7, 12}", 1642
"{'白帽伞菌', '火盐', '矮人油'}", "{12, 5, 7}", 1147
"{'精灵耳', '火盐', '矮人油'}", "{5, 7, 10, 12}", 1555
"{'月亮糖', '火盐', '矮人油'}", "{12, 7}", 999
"{'直立根', '火盐', '矮人油'}", "{12, 7}", 999
"{'鳞片伞菌', '架子湾葡萄', '矮人油'}", "{12, 22, 36}", 1489
"{'树伞菌', '架子湾葡萄', '矮人油'}", "{12, 7, 22, 36}", 1642
"{'天鹅菇', '架子湾葡萄', '矮人油'}", "{12, 7, 22, 36}", 1642
"{'藤蔓丛', '架子湾葡萄', '矮人油'}", "{12, 22, 7}", 1192
"{'月亮糖', '架子湾葡萄', '矮人油'}", "{12, 22, 7}", 1192
"{'盐堆', '架子湾葡萄', '矮人油'}", "{12, 22}", 1039
"{'直立根', '架子湾葡萄', '矮人油'}", "{36, 22, 7, 12}", 1642
"{'鲑鱼卵', '架子湾葡萄', '矮人油'}", "{12, 22, 31}", 1366
"{'盐堆', '架子湾葡萄', '矮人油'}", "{12, 22}", 1039
"{'直立根', '架子湾葡萄', '矮人油'}", "{12, 22}", 1039
"{'树伞菌', '鳞片伞菌', '矮人油'}", "{36, 22, 7}", 796
"{'天鹅菇', '鳞片伞菌', '矮人油'}", "{36, 22, 7}", 796
"{'藤蔓丛', '鳞片伞菌', '矮人油'}", "{36, 22, 7}", 796
"{'月亮糖', '鳞片伞菌', '矮人油'}", "{36, 12, 22, 7}", 1642
"{'鳞片伞菌', '盐堆', '矮人油'}", "{36, 12, 22}", 1489
"{'直立根', '鳞片伞菌', '矮人油'}", "{36, 22, 7, 12}", 1642
"{'树伞菌', '鳞片伞菌', '矮人油'}", "{11, 36, 22}", 1489
"{'天鹅菇', '鳞片伞菌', '矮人油'}", "{11, 36, 22}", 1489
"{'藤蔓丛', '鳞片伞菌', '矮人油'}", "{36, 45, 22}", 1634
"{'直立根', '鳞片伞菌', '矮人油'}", "{36, 22}", 643
"{'树伞菌', '天鹅菇', '矮人油'}", "{36, 7}", 603
"{'树伞菌', '藤蔓丛', '矮人油'}", "{36, 22, 7}", 796
"{'树伞菌', '月亮糖', '矮人油'}", "{36, 12, 7}", 1449
"{'树伞菌', '盐堆', '矮人油'}", "{36, 12, 22, 7}", 1642
"{'树伞菌', '直立根', '矮人油'}", "{36, 22, 7, 12}", 1642
"{'树伞菌', '鳞片伞菌', '矮人油'}", "{11, 36, 7}", 1449
"{'树伞菌', '天鹅菇', '矮人油'}", "{50, 36, 7, 11}", 1772
"{'树伞菌', '直立根', '矮人油'}", "{36, 7}", 603
"{'天鹅菇', '藤蔓丛', '矮人油'}", "{36, 22, 7}", 796
"{'天鹅菇', '月亮糖', '矮人油'}", "{36, 12, 7}", 1449
"{'天鹅菇', '盐堆', '矮人油'}", "{36, 12, 22, 7}", 1642
"{'天鹅菇', '直立根', '矮人油'}", "{36, 22, 7, 12}", 1642
"{'天鹅菇', '鳞片伞菌', '矮人油'}", "{11, 36, 7}", 1449
"{'天鹅菇', '树伞菌', '矮人油'}", "{50, 36, 7, 11}", 1772
"{'天鹅菇', '直立根', '矮人油'}", "{36, 7}", 603
"{'月亮糖', '藤蔓丛', '矮人油'}", "{12, 22, 7}", 1192
"{'藤蔓丛', '盐堆', '矮人油'}", "{12, 22, 7}", 1192
"{'直立根', '藤蔓丛', '矮人油'}", "{36, 22, 7, 12}", 1642
"{'巨人脚趾', '藤蔓丛', '矮人油'}", "{17, 45, 22, 7}", 1928
"{'藤蔓丛', '鳞片伞菌', '矮人油'}", "{45, 22, 7}", 1337
"{'直立根', '藤蔓丛', '矮人油'}", "{22, 7}", 346
"{'月亮糖', '盐堆', '矮人油'}", "{12, 22, 7}", 1192
"{'月亮糖', '直立根', '矮人油'}", "{36, 22, 7, 12}", 1642
"{'月亮糖', '火盐', '矮人油'}", "{12, 7}", 999
"{'月亮糖', '霜盐', '矮人油'}", "{7, 8, 9, 12}", 1585
"{'月亮糖', '直立根', '矮人油'}", "{12, 7}", 999
"{'直立根', '盐堆', '矮人油'}", "{36, 22, 7, 12}", 1642
"{'盐堆', '架子湾葡萄', '矮人油'}", "{12, 22}", 1039
"{'直立根', '盐堆', '矮人油'}", "{12, 22}", 1039
"{'直立根', '火盐', '矮人油'}", "{36, 22, 7, 12}", 1642
